"Category","Energy Industries","Residential","Manufacturing Combustion","Commercial Services","Public Services","Transport","Industrial Processes","F-Gases","Agriculture","Waste"
1990,11328.06295,7523.664836,3961.750197,1083.487824,1160.654786,5146.533516,3274.57019,34.59111187,20363.73253,1546.8004
1991,11781.84679,7565.932126,4074.454839,1129.637648,1144.578978,5325.592335,2961.913663,49.50049745,20444.36865,1627.764962
1992,12439.24853,6717.801658,3768.74115,1153.535061,1062.542208,5755.69661,2873.534058,64.40969745,20440.49614,1692.860157
1993,12459.32609,6667.010616,3986.718637,1168.709571,1046.875812,5732.588876,2838.991702,106.4342363,20631.05219,1742.525179
1994,12795.36189,6496.576788,4242.626226,1321.24887,1079.278423,5985.101213,3077.312622,149.5794247,20783.33384,1786.795234
1995,13479.88455,6452.046578,4347.622852,1165.567373,936.3409229,6280.181106,2990.946867,298.1165961,21430.94226,1823.017086
1996,14199.71705,6576.321378,4182.73516,1224.716382,979.8410409,7332.52592,3073.109229,409.3038393,21600.83522,1702.173544
1997,14854.15056,6235.915498,4550.550702,1285.306089,955.3669961,7712.809803,3402.706958,592.1076778,21649.25723,1428.908344
1998,15224.26136,6744.745872,4589.61825,1279.142819,906.1432654,9060.739689,3292.686525,560.9058358,22057.36229,1472.031892
1999,15922.77588,6377.877331,4810.475395,1368.198912,954.7532966,9754.960534,3242.233704,712.0878035,21693.37135,1477.282926
2000,16204.67836,6462.603319,5642.368992,1374.70766,989.4272234,10796.66955,3789.50089,968.4014388,20767.9176,1489.093163
2001,17491.85971,6732.292356,5599.385393,1402.546355,1019.458003,11320.32891,3821.786049,1066.212563,20426.18532,1601.841608
2002,16497.5127,6658.624597,5323.054511,1382.590262,981.6067613,11514.7884,3303.471037,993.6574411,20078.31689,1707.60163
2003,16473.25775,6812.579828,5513.818909,1468.773346,963.2982103,11715.78279,2496.662369,1133.237595,20334.96676,1763.098923
2004,15421.65063,6992.507262,5694.093389,1349.259485,871.4189106,12435.22466,2668.245874,1003.55571,20057.29531,1484.204128
2005,15908.20404,7271.61115,5870.416998,1475.612218,952.4372318,13143.43447,2764.692393,1021.44827,19813.66507,1290.67817
2006,15166.89329,7157.218697,5752.407014,1380.021857,912.670785,13822.25765,2710.989952,1179.892845,19404.39196,1326.397304
2007,14677.37374,6928.457516,5788.734484,1414.795734,958.7318272,14406.20568,2769.723192,1174.937827,19066.90736,848.5086642
2008,14799.78306,7521.492484,5629.341454,1547.867767,1053.006926,13673.98103,2472.241085,1036.054995,18895.52414,687.3859401
2009,13202.42932,7466.982124,4486.923915,1294.908595,995.6303229,12451.43621,1658.262698,1028.406298,18479.52113,515.2052057
2010,13468.46416,7800.879697,4476.467896,1293.645483,1014.350202,11534.97804,1464.853258,996.0750927,18558.87669,499.72274
2011,12063.07784,6609.707852,4142.360083,1192.01134,902.8193845,11222.73052,1335.28233,1007.445556,17940.23368,590.7709865
2012,12903.26106,6232.291501,4176.510224,1181.739111,916.6521813,10836.23304,1561.714899,986.1213759,18317.67669,515.0888047
2013,11496.1175,6395.376762,4239.353872,1063.365311,855.6312986,11067.61433,1477.734367,1017.570761,19142.89865,671.0335011
2014,11272.05029,5745.582111,4322.98966,954.0540496,798.154853,11348.67799,1820.146591,1073.257509,18914.30739,852.4711336
2015,11891.32601,6041.309455,4469.573514,967.3655251,832.1535442,11814.05145,2007.321746,1087.269518,19141.82942,933.5232405
2016,12608.19752,6046.481487,4526.182433,1004.66773,849.3455428,12295.5925,2149.619085,1174.195675,19658.51443,938.9573903
2017,11743.86941,5740.906813,4564.731595,1072.109409,905.7815565,12004.97629,2269.661162,1212.144585,20220.78928,916.310167
2018,10364.72537,6197.181192,4741.389921,1128.523803,979.8369176,12203.0952,2315.931089,1088.06558,20597.32775,890.8274586